ans,ans_idx,sentence,true
上海复拓生物科技发展有限公司->复拓生物,"[{""name"": ""上海复拓生物科技发展有限公司"", ""alias"": ""复拓生物"", ""name_idx"": [54, 67], ""alias_idx"": [74, 77]}]","（2）2019 年 3 月 25 日，本公司与关联方复星健控签订《增资协议》，本公司与复星健控拟根据各自所持上海复拓生物科技发展有限公司（以下简称“复拓生物”）股权比例合计出资人民币 50,000 万元对复拓生物进行增资，其中：本公司拟出资人民币 25,500 万元认缴复拓生物新增注册资本人民币 25,500 万元；该等增资完成后，本公司仍持有复拓生物 51%的股权",1
,[],（3）2019 年 6 月 26 日，控股子公司复星实业（香港）有限公司（以下简称“复星实业”）与 Breas Medical Holdings AB （系复星实业与郭广昌先生控制的 Windgothenburg (HK) limited 分别间接持有 55%、45%股权之公司；以下简称“Breas”）签订《Intercompany Loan Agreement》，约定仅由复星实业作为股东方向 Breas 提供期限为不超过一年、金额为 200 万美元的借款,1
,[],（4）2019 年 7 月 15 日，本公司与关联方复星健控、海囤（上海）国际贸易有限公司（以下简称“海囤国际”）签订《增资协议》，本公司与关联方复星健控、海囤国际拟根据各自所持上海亲苗科技有限公司（以下简称“亲苗科技”）股权比例合计出资人民币 800 万元对亲苗科技进行增资，其中：本公司拟出资人民币 80万元认缴亲苗科技新增注册资本人民币 80 万元；该等增资完成后，本公司仍持有亲苗科技 10%的股权,1
上海复健股权投资基金管理有限公司->复健基金管理公司,"[{""name"": ""上海复健股权投资基金管理有限公司"", ""alias"": ""复健基金管理公司"", ""name_idx"": [75, 90], ""alias_idx"": [97, 104]}]",（5）2019 年 8 月 26 日，本公司与关联方复星健控签订《投资协议》，本公司与复星健控拟分别出资人民币 600 万元、400 万元共同投资设立上海复健股权投资基金管理有限公司（以下简称“复健基金管理公司”）,1
,[],（1）2019 年 1 月 24 日，控股子公司 Fosun Pharma Industrial Pte. Ltd.（以下简称“收购方”）、Gland Pharma Limited（以下简称“Gland Pharma”）及关联方创始人股东（即主要由 Dr. P. Ravindranath 家族其控制的公司及其管理的信托构成，下同）签署《 Amendment NO.1 to the Amended and Restated,1
上海复星平耀投资管理有限公司->复星平耀,"[{""name"": ""上海复星平耀投资管理有限公司"", ""alias"": ""复星平耀"", ""name_idx"": [24, 37], ""alias_idx"": [44, 47]}]",（2）2019 年 1 月 29 日，控股子公司上海复星平耀投资管理有限公司（以下简称“复星平耀”）与关联方汪诚先生及其他相关方签订《股权转让协议》，复星平耀拟向汪诚先生转让浙江德尚韵兴医疗科技有限公司约 0.2143%的股权，转让价格为人民币 50万元,1
,[],"（4）2019 年 3 月 25 日，控股子公司重庆药友制药有限责任公司（以下简称“重庆药友”）与关联方重庆医药（集团）股份有限公司（以下简称“重庆医股”）签订《产权交易合同》，重庆药友拟出资人民币 8,199 万元受让重庆医股所持有的重庆医药工业研究院有限责任公司 43.11%的股权",1
江苏万邦云健康科技有限公司->万邦云健康,"[{""name"": ""江苏万邦云健康科技有限公司"", ""alias"": ""万邦云健康"", ""name_idx"": [28, 40], ""alias_idx"": [47, 51]}]",（6）2019 年 5 月 27 日，本公司、控股子公司江苏万邦云健康科技有限公司（以下简称“万邦云健康”）与关联方海囤国际签订《股权转让协议》，本公司与万邦云健康拟分别以人民币 270 万元、人民币 90 万元向海囤国际转让其持有亲苗科技 15%、5%的股权；该等股权转让完成后，本公司尚持有亲苗科技 10%的股权、万邦云健康将不再持有亲苗科技的股权,1
上海砺麟医疗管理合伙企业(有限合伙)->上海砺麟,"[{""name"": ""上海砺麟医疗管理合伙企业(有限合伙)"", ""alias"": ""上海砺麟"", ""name_idx"": [32, 49], ""alias_idx"": [56, 59]}]",（7）2019 年 5 月 30 日，控股子公司复星平耀与关联方上海砺麟医疗管理合伙企业(有限合伙)（以下简称“上海砺麟”）签订《合伙企业财产份额转让协议》，复星平耀出资人民币 400 万元受让砺麒医疗持有上海砺麟医疗管理合伙企业（有限合伙）2%的财产份额（离职员工退出部分）；该份额转让完成后，复星平耀尚合计持有砺麟医疗 60.2%的份额,1
"Pharmaceuticals,Inc.->Hinova","[{""name"": ""Pharmaceuticals,Inc."", ""alias"": ""Hinova"", ""name_idx"": [0, 19], ""alias_idx"": [27, 32]}]","Pharmaceuticals,Inc.（以下简称“ Hinova”）等签订《 Series B Preferred",1
AmpleUpLimited->AmpleUp,"[{""name"": ""Ample Up Limited"", ""alias"": ""Ample Up"", ""name_idx"": [25, 40], ""alias_idx"": [55, 62]}]",2019 年 9 月 30 日，本公司控股子公司 Ample Up Limited（即能悦有限公司，以下简称“Ample Up”）与关联方 Magnificent View 签订《Share Purchase,1
,[],"Agreement》（以下简称“《股份转让协议》”），Ample Up 拟以 4.02 港元/股受让Magnificent View 持有的 Sisram（复锐医疗科技）96,976,000 股股份（约占Sisram（复锐医疗科技）截至本公告日已发行股份总数的 21.93%，以下简称“目标股份”），本次交易对价的总额约为 38,984 万港元（以下简称“本次交易”或“本次关联交易”）",1
MagnificentView系复星-保德信中国机会基金（有限合伙）->复星-保德信,"[{""name"": ""Magnificent View 系复星-保德信中国机会基金（有限合伙）"", ""alias"": ""复星-保德信"", ""name_idx"": [0, 35], ""alias_idx"": [89, 94]}]","Magnificent View 系复星-保德信中国机会基金（有限合伙）（即 Pramerica-Fosun China Opportunity Fund, L.P.，以下简称“复星-保德信”）的全资子公司",1
香港联合交易所有限公司->香港联交所,"[{""name"": ""香港联合交易所有限公司"", ""alias"": ""香港联交所"", ""name_idx"": [30, 40], ""alias_idx"": [47, 51]}]",Sisram（复锐医疗科技）的股份于 2017 年 9 月在香港联合交易所有限公司（以下简称“香港联交所”）主板上市及买卖，股份代号 01696.HK,1
如下先决条件->先决条件,"[{""name"": ""如下先决条件"", ""alias"": ""先决条件"", ""name_idx"": [49, 54], ""alias_idx"": [61, 64]}]",2、本次交易应在 2020 年 3 月 31 日（或股份购买协议之协议方书面约定的其他日期）前达成如下先决条件（以下简称“先决条件”）；若未能在上述期限内达成，则《股份转让协议》将终止：,1
北京豪思生物科技有限公司->豪思生物,"[{""name"": ""北京豪思生物科技有限公司"", ""alias"": ""豪思生物"", ""name_idx"": [34, 45], ""alias_idx"": [52, 55]}]",投资界（ID：pedaily2012）6月10日消息，据动脉网报道，北京豪思生物科技有限公司（以下简称“豪思生物”）宣布完成2亿元B+轮融资,1
天津同融电子商务公司->天津同融,"[{""name"": ""天津同融电子商务公司"", ""alias"": ""天津同融"", ""name_idx"": [27, 36], ""alias_idx"": [43, 46]}]",此前的2020年8月28日，合众支付完成工商信息变更，天津同融电子商务公司（以下简称“天津同融”）以100%的持股比例，成为合众支付控股股东,1
深圳市锐思华创技术有限公司->Raythink,"[{""name"": ""深圳市锐思华创技术有限公司"", ""alias"": ""Raythink"", ""name_idx"": [0, 12], ""alias_idx"": [18, 25]}]",深圳市锐思华创技术有限公司（以下简称Raythink）成立于2019年，是车载AR显示产品及解决方案提供商,1
,[],该融资券简称“20越秀租赁SCP005”，计划发行总额为6亿元，实际发行总额为6亿元，期限为120天，起息日为2020年6月19日，兑付日为2020年10月17日，发行价格为100元，发行利率为1.99%，主承销商为平安银行股份有限公司,1
,[],证券代码：603866 证券简称：桃李面包 公告编号：2020-098,1
转债代码：113544转债->桃李转,"[{""name"": ""转债代码：113544 转债"", ""alias"": ""桃李转"", ""name_idx"": [0, 13], ""alias_idx"": [17, 19]}]",转债代码：113544 转债简称：桃李转债,1
,[],转股代码：191544 转股简称：桃李转股,1
桃李面包股份有限公司->公司,"[{""name"": ""桃李面包股份有限公司"", ""alias"": ""公司"", ""name_idx"": [9, 18], ""alias_idx"": [25, 26]}]",截至本公告披露日，桃李面包股份有限公司（以下简称“公司”）5%以上股,1
,[],【亿邦动力讯】7月19日，亿邦动力获悉，京东集团及旗下京东物流集团、京东数字科技集团与彩生活服务集团有限公司（香港联交所上市公司1778.HK，以下简称“彩生活”）宣布达成深度战略合作，彩生活将向京东定向增发新股，京东将投资3.71亿港元认购彩生活5%的股份,1
《加快培育新型消费实施方案》->《实施方案》,"[{""name"": ""《加快培育新型消费实施方案》"", ""alias"": ""《实施方案》"", ""name_idx"": [17, 30], ""alias_idx"": [35, 40]}]",3月25日消息，发改委等多部门印发《加快培育新型消费实施方案》（简称：《实施方案》），在加强商品供应链服务创新、畅通农产品流通渠道、加快以新技术促进新装备新设备应用三方面多处提及邮政快递业,1
喜相逢集团控股有限公司->喜相逢,"[{""name"": ""喜相逢集团控股有限公司"", ""alias"": ""喜相逢"", ""name_idx"": [19, 29], ""alias_idx"": [36, 38]}]",据IPO早知道消息，汽车融资租赁服务商喜相逢集团控股有限公司（以下简称“喜相逢”）于北京时间12月31日正式递交上市申请，拟港交所主板上市，东兴证券(香港)担任独家保荐人,1
广州科技创新母基金->科创母基金,"[{""name"": ""广州科技创新母基金"", ""alias"": ""科创母基金"", ""name_idx"": [8, 16], ""alias_idx"": [22, 26]}]",第三条本办法所称广州科技创新母基金（以下简称科创母基金），是由市政府出资设立，按照市场化方式运作，不以营利为目的的政策性母基金，通过引导社会资本投向科技创新项目，促进科技成果转化，培育战略性新兴产业，助力广州科技创新强市建设,1
如涵控股有限公司->如涵,"[{""name"": ""如涵控股有限公司"", ""alias"": ""如涵"", ""name_idx"": [21, 28], ""alias_idx"": [33, 34]}]",2019年8月29日，中国网红电商第一股：如涵控股有限公司（简称“如涵”或“公司”）（NASDAQ:RUHN）公布了截至2019年6月30日截止的2020财年第一季度未经审计财务业绩,1
,[],本轮投资方包括福建省现代服务业产业发展基金（简称闽服基金）和义乌中国小商品城金融控股有限公司（简称商城金控），驭财资本继纵腾集团A轮、B轮融资之后，继续担任本轮融资的财务顾问,1
,[],投资界（ID：pedaily2012）4月15日消息，近日，中电科基金管理有限公司（简称“中电基金”）管理的中电电子信息产业投资基金（简称“中电产业基金”）独家完成了对杭州立思辰安科科技有限公司（简称“立思辰安科”）数千万级战略投资,1
上海叠腾网络科技有限公司->叠腾科技,"[{""name"": ""上海叠腾网络科技有限公司"", ""alias"": ""叠腾科技"", ""name_idx"": [21, 32], ""alias_idx"": [37, 40]}]",12月3日消息，面向智慧能源的工业智能企业上海叠腾网络科技有限公司（简称“叠腾科技”）宣布完成数千万元PreA轮融资，本轮融资由晨山资本独家投资,1
天虹数科商业股份有限公司->天虹股份,"[{""name"": ""天虹数科商业股份有限公司"", ""alias"": ""天虹股份"", ""name_idx"": [0, 11], ""alias_idx"": [18, 21]}]",天虹数科商业股份有限公司的证券简称“天虹股份”和证券代码（002419）不变，公司所属行业没有发生改变，公司商业企业性质不变,1
长沙智能驾驶研究院有限公司->希迪智驾,"[{""name"": ""长沙智能驾驶研究院有限公司"", ""alias"": ""希迪智驾"", ""name_idx"": [42, 54], ""alias_idx"": [61, 64]}]",投资界（ID：pedaily2012）4月8日消息，据甲子光年消息，智能驾驶研发公司长沙智能驾驶研究院有限公司（以下简称“希迪智驾”）近日完成B轮融资，总金额3亿元,1
Qbit趣比汇->Qbit,"[{""name"": ""Qbit趣比汇"", ""alias"": ""Qbit"", ""name_idx"": [20, 26], ""alias_idx"": [34, 37]}]",36氪出海获悉，一站式跨境资金管理平台“Qbit趣比汇”（以下简称：Qbit）于日前完成了近1000万美元的A 轮融资，投资方为真格基金,1
,[],2019年8月28日，作为内蒙古蒙牛乳业集团股份有限公司（以下简称“蒙牛”）旗下唯一的奶粉企业，雅士利国际集团有限公司（以下简称“雅士利”）公布了2019年半年度业绩报告,1
浙江小远机器人有限公司->小远公司,"[{""name"": ""浙江小远机器人有限公司"", ""alias"": ""小远公司"", ""name_idx"": [30, 40], ""alias_idx"": [47, 50]}]",投资界（ID：pedaily2012）5月12日消息，近日，浙江小远机器人有限公司(以下简称“小远公司”)正式宣布完成数千万元的A轮融资，投资方为招商局集团旗下两山基金,1
第六届中国老年行业商业创新会议->ABI会议,"[{""name"": ""第六届中国老年行业商业创新会议"", ""alias"": ""ABI会议"", ""name_idx"": [14, 28], ""alias_idx"": [32, 36]}]",12月21日-12月22日，第六届中国老年行业商业创新会议（简称ABI会议）及同期活动将在上海举行,1
,[],投资界（ID：pedaily2012）1月11日消息，中信资本控股有限公司旗下的私募股权投资部门（以下简称“中信资本”）宣布，已完成向麦克英孚控股有限公司（以下称“麦克英孚”或“公司”）的投资,1
杭州东方嘉富资产管理有限公司->东方嘉富,"[{""name"": ""杭州东方嘉富资产管理有限公司"", ""alias"": ""东方嘉富"", ""name_idx"": [6, 19], ""alias_idx"": [26, 29]}]",6月29日，杭州东方嘉富资产管理有限公司（以下简称“东方嘉富”）新一期股权投资基金—杭州鸿富股权投资合伙企业(有限合伙)成立仪式在杭州举行，基金首期交割逾6亿元人民币,1
,[],投资界（微信ID：pedaily2012）7月14日消息，骨科手术机器人研发企业——元化智能科技（深圳）有限公司（简称“元化智能”）举办战略融资签约仪式，宣布获得深圳市创新集团有限公司（简称“深创投”）及旗下健康产业基金、红土天使基金合计数千万元人民币天使轮融资,1
,[],证券代码：603833 证券简称：欧派家居 公告编号：2020-044,1
,[],债券代码：113543 债券简称：欧派转债,1
,[],转股代码：191543 转股简称：欧派转股,1
欧派家居集团股份有限公司->公司,"[{""name"": ""欧派家居集团股份有限公司"", ""alias"": ""公司"", ""name_idx"": [0, 11], ""alias_idx"": [18, 19]}]",欧派家居集团股份有限公司（以下简称“公司”或“欧派家居”）董事谭钦兴先生于 2020年 1月 4日披露了减持股份计划,1
成都数之联科技有限公司->数之联,"[{""name"": ""成都数之联科技有限公司"", ""alias"": ""数之联"", ""name_idx"": [32, 42], ""alias_idx"": [49, 51]}]",投资界（微信ID：pedaily2012）2月10日消息，近日，成都数之联科技有限公司(以下简称“数之联”)对外发布其1.5亿元B轮融资信息，本轮投资方为银杏谷资本、吉富创投、云栖创投、普华资本、华立实业、安盈资本,1
TravelConvenienceIndex->TCI,"[{""name"": ""Travel Convenience Index"", ""alias"": ""TCI"", ""name_idx"": [43, 66], ""alias_idx"": [70, 72]}]",今天，中国社会科学院财经战略研究院和美团点评联合课题组发布中国景区旅游消费便利度指数（Travel Convenience Index，简称TCI），目前，全国高星景区TCI综合得分为80.4分，信息获取最便利，游玩配套服务提升空间最大，在景区信息获取、入园购票两个环节，以“互联网+”实现景区信息及票务的在线化等成为提升旅游消费便利度的关键因素,1
美国微信用户联合会->美微联会,"[{""name"": ""美国微信用户联合会"", ""alias"": ""美微联会"", ""name_idx"": [2, 10], ""alias_idx"": [16, 19]}]",④在美国微信用户联合会（以下简称美微联会）起诉美国总统特朗普和商务部长罗斯的诉讼案中，加州北区联邦地区法院法官同意下达初步禁令，阻止美国政府明天执行商务部“微信封杀令”文件,1
芯行纪科技有限公司->芯行纪,"[{""name"": ""芯行纪科技有限公司"", ""alias"": ""芯行纪"", ""name_idx"": [40, 48], ""alias_idx"": [55, 57]}]",投资界（ID：pedaily2012）6月7日消息，EDA数字实现解决方案供应商芯行纪科技有限公司（以下简称“芯行纪”）宣布完成数亿元Pre-A轮融资，本轮融资由红杉中国、云晖资本、高榕资本、松禾资本联合领投，真格基金参与投资,1
,[],今日，QuestMobile发布《短视频2019半年报告》（以下简称“报告”）,1
中国音像著作权集体管理协会->音集协,"[{""name"": ""中国音像著作权集体管理协会"", ""alias"": ""音集协"", ""name_idx"": [3, 15], ""alias_idx"": [22, 24]}]",近日，中国音像著作权集体管理协会（以下简称“音集协”）官方发布公告，要求快手平台停止侵权行为并且下架首批一万部涉嫌侵权视频,1
,[],上午9点30分，象征着上市的钟声在深圳证券交易所敲响，“武汉中商”的证券简称变更为“居然之家”,1
,[],证券代码：603866 证券简称：桃李面包 公告编号：2020-107,1
转债代码：113544转债->桃李转,"[{""name"": ""转债代码：113544 转债"", ""alias"": ""桃李转"", ""name_idx"": [0, 13], ""alias_idx"": [17, 19]}]",转债代码：113544 转债简称：桃李转债,1
,[],转股代码：191544 转股简称：桃李转股,1
桃李面包股份有限公司->公司,"[{""name"": ""桃李面包股份有限公司"", ""alias"": ""公司"", ""name_idx"": [2, 11], ""alias_idx"": [18, 19]}]","? 桃李面包股份有限公司（以下简称“公司”）控股股东及实际控制人之一的吴学群先生持有公司股份 164,487,770 股，占公司总股本的 24.88%；本次质押后，吴学群先生累计质押公司股份 57,390,000 股，占其所持公司股份总量的 34.89%，占公司总股本的 8.68%",1
上海圣哲医疗科技有限公司->圣哲医疗,"[{""name"": ""上海圣哲医疗科技有限公司"", ""alias"": ""圣哲医疗"", ""name_idx"": [30, 41], ""alias_idx"": [48, 51]}]",投资界（微信ID：pedaily2012）12月24日消息，上海圣哲医疗科技有限公司（以下简称“圣哲医疗”）完成数千万元Pre-A轮融资，由北极光创投领投，龙磐投资跟投,1
工作分解结构->WBS,"[{""name"": ""工作分解结构"", ""alias"": ""WBS"", ""name_idx"": [0, 5], ""alias_idx"": [34, 36]}]",工作分解结构(Work Breakdown Structure，简称WBS)跟因数分解是一个原理，就是把一个项目按照一定原则拆解成为任务，任务再拆解成为各项工作，然后在把工作具体到日常活动中，直到分解不下去为之,1
江西返利网数字科技股份有限公司->返利科技,"[{""name"": ""江西返利网数字科技股份有限公司"", ""alias"": ""返利科技"", ""name_idx"": [10, 24], ""alias_idx"": [29, 32]}]",日前，马蹄社成员企业江西返利网数字科技股份有限公司（简称“返利科技”，证券代码：600228.SH）在上交所鸣锣，完成A股上市仪式,1
,[],证券代码：600337 证券简称：美克家居 编号：临 2019-008,1
,[],证券代码：603883 证券简称：老百姓 公告编号：2020-031,1
,[],债券代码：113531 债券简称：百姓转债,1
老百姓医药集团有限公司->医药集团,"[{""name"": ""老百姓医药集团有限公司"", ""alias"": ""医药集团"", ""name_idx"": [6, 16], ""alias_idx"": [23, 26]}]","公司控股股东老百姓医药集团有限公司（以下简称“医药集团”）直接持有公司无限售流通股 81,235,578 股,限售流通股 17,945,266 股，共持有公司99,180,844股，占公司总股本的 34.52%",1
认养一头牛控股集团股份有限公司->认养一头牛,"[{""name"": ""认养一头牛控股集团股份有限公司"", ""alias"": ""认养一头牛"", ""name_idx"": [0, 14], ""alias_idx"": [20, 24]}]",认养一头牛控股集团股份有限公司（简称：“认养一头牛”）日前正在接受公开发行股票并上市辅导，准备在A股上市,1
微传智能科技（常州）有限公司->微传科技,"[{""name"": ""微传智能科技（常州）有限公司"", ""alias"": ""微传科技"", ""name_idx"": [24, 37], ""alias_idx"": [44, 47]}]",投资界（微信ID：pedaily2012）消息，微传智能科技（常州）有限公司（以下简称“微传科技”）获数千万元的B轮投资，投资方包括毅达资本，本轮融资将主要用于加速新一代智能磁传感器和MEMS运动传感器芯片的研发和商业化进程，进一步加快进口替代，提升国内产业链自主权,1
小米集团->小米,"[{""name"": ""小米集团"", ""alias"": ""小米"", ""name_idx"": [34, 37], ""alias_idx"": [43, 44]}]",8月11日，小米集团董事长、创始人兼CEO雷军以公开演讲的方式解密了小米集团（以下简称小米）成长那些不为人知的秘密,1
上海美特斯邦威服饰股份有限公司->美邦服饰,"[{""name"": ""上海美特斯邦威服饰股份有限公司"", ""alias"": ""美邦服饰"", ""name_idx"": [3, 17], ""alias_idx"": [22, 25]}]",近日，上海美特斯邦威服饰股份有限公司（简称“美邦服饰”）发布非公开发行股票预案，拟将募集资金总额不超过15亿元，用于品牌升级与产品供应链转型项目和偿还银行贷款,1
四川省葡萄酒与果酒行业协会->果酒行业协会,"[{""name"": ""四川省葡萄酒与果酒行业协会"", ""alias"": ""果酒行业协会"", ""name_idx"": [56, 68], ""alias_idx"": [74, 79]}]",【亿邦动力网讯】9月20日消息，京东超市在“首届京东果酒节暨京东果酒战略联盟启动仪式”上，与全国首家果酒协会——四川省葡萄酒与果酒行业协会（以下简称果酒行业协会），以及中外近百家果酒品牌企业代表，共同组建了“京东果酒战略联盟”,1
南通赛勒光电科技有限公司->赛勒科技,"[{""name"": ""南通赛勒光电科技有限公司"", ""alias"": ""赛勒科技"", ""name_idx"": [24, 35], ""alias_idx"": [42, 45]}]",投资界（微信ID：pedaily2012）消息，南通赛勒光电科技有限公司（以下简称“赛勒科技”）近日宣布完成新一轮数千万元人民币融资，领投方为耀途资本,1
予果生物科技（北京）有限公司->予果生物,"[{""name"": ""予果生物科技（北京）有限公司"", ""alias"": ""予果生物"", ""name_idx"": [29, 42], ""alias_idx"": [49, 52]}]",投资界（微信ID：pedaily2012）2月25日消息，予果生物科技（北京）有限公司（以下简称“予果生物”）于2019年8月获得北极光创投首轮独家投资，之后产业基金、金融机构对其持续注资，累计融资近亿元,1
湖南华凯文化创意股份有限公司->华凯创意,"[{""name"": ""湖南华凯文化创意股份有限公司"", ""alias"": ""华凯创意"", ""name_idx"": [8, 21], ""alias_idx"": [28, 31]}]",⑩日前，上市企业湖南华凯文化创意股份有限公司（以下简称“华凯创意”）发布公告称正在筹划发行股份及支付现金购买资产并募集配套资金,1
深圳市易佰网络科技有限公司->易佰网络,"[{""name"": ""深圳市易佰网络科技有限公司"", ""alias"": ""易佰网络"", ""name_idx"": [31, 43], ""alias_idx"": [49, 52]}]",亿邦动力了解到，本次华凯创意拟通过发行股份及支付现金的方式购买深圳市易佰网络科技有限公司（以下简称易佰网络）90%股权,1
GROW2.0品牌数字化增长白皮书->GROW2.0白皮书,"[{""name"": ""GROW 2.0品牌数字化增长白皮书"", ""alias"": ""GROW 2.0白皮书"", ""name_idx"": [27, 44], ""alias_idx"": [50, 60]}]",3月31日，天猫大快消联手贝恩公司、阿里妈妈共同发布 GROW 2.0品牌数字化增长白皮书(以下简称GROW 2.0白皮书)，推动企业数字化经营及品牌营销全面数字化,1
杭州亿科医疗科技有限公司->亿科医疗,"[{""name"": ""杭州亿科医疗科技有限公司"", ""alias"": ""亿科医疗"", ""name_idx"": [27, 38], ""alias_idx"": [45, 48]}]",投资界（ID：pedaily2012）7月26日消息，杭州亿科医疗科技有限公司（以下简称：亿科医疗）近日宣布完成近亿元A轮融资，本轮融资由上海创瑞领投，老股东继续跟投,1
海伦司国际控股有限公司->海伦司,"[{""name"": ""海伦司国际控股有限公司"", ""alias"": ""海伦司"", ""name_idx"": [9, 19], ""alias_idx"": [26, 28]}]",日前，线下连锁酒馆海伦司国际控股有限公司（以下简称“海伦司”）向港交所递交了招股书，拟在主板挂牌上市,1
,[],第二个变化是CPFR化，CPFR是预测、计划和补货的简称,1
京东超市和百事食品（中国）有限公司->百事食品,"[{""name"": ""京东超市和百事食品（中国）有限公司"", ""alias"": ""百事食品"", ""name_idx"": [11, 27], ""alias_idx"": [32, 35]}]",1月16日消息，近日，京东超市和百事食品（中国）有限公司（简称“百事食品”）正式签署战略合作意向书,1
广州汽车集团股份有限公司->广汽集团,"[{""name"": ""广州汽车集团股份有限公司"", ""alias"": ""广汽集团"", ""name_idx"": [12, 23], ""alias_idx"": [27, 30]}]",亿邦动力获悉，本轮投资方广州汽车集团股份有限公司（简称广汽集团）是一家大型国有控股股份制企业集团,1
印刷电路板->PCB,"[{""name"": ""印刷电路板"", ""alias"": ""PCB"", ""name_idx"": [21, 25], ""alias_idx"": [29, 31]}]",2020年的产业互联网正热，竞争炮火落在了印刷电路板（简称PCB）生产行业,1
烟台中宠食品股份有限公司->中宠股份,"[{""name"": ""烟台中宠食品股份有限公司"", ""alias"": ""中宠股份"", ""name_idx"": [0, 11], ""alias_idx"": [18, 21]}]",烟台中宠食品股份有限公司（以下简称“中宠股份”）成立较早，距今已有二十余年,1
中国汽车工业协会->中汽协,"[{""name"": ""中国汽车工业协会"", ""alias"": ""中汽协"", ""name_idx"": [1, 8], ""alias_idx"": [13, 15]}]",⑤中国汽车工业协会（简称“中汽协”）发布了7月份我国汽车市场产销数据,1
天津爱思达航天科技有限公司->爱思达航天,"[{""name"": ""天津爱思达航天科技有限公司"", ""alias"": ""爱思达航天"", ""name_idx"": [29, 41], ""alias_idx"": [48, 52]}]",投资界（ID：pedaily2012）8月9日消息，近日，天津爱思达航天科技有限公司（以下简称“爱思达航天”）宣布完成A轮过亿元融资，本轮融资由陆石投资、深创投联合领投，浙大联创、海河红土、久友资本等老股东重仓加码,1
KKR集团（KohlbergKravisRoberts&Co.L.P.->KKR,"[{""name"": ""KKR集团（Kohlberg Kravis Roberts & Co. L.P."", ""alias"": ""KKR"", ""name_idx"": [12, 51], ""alias_idx"": [55, 57]}]",亿邦动力获悉，本轮投资方KKR集团（Kohlberg Kravis Roberts & Co. L.P.，简称KKR）成立于1976年，是全球历史最悠久也是经验最为丰富的资产管理与私募股权投资机构之一，业务包括直接投资、并购等,1
宁波梅山保税港区樾宸投资管理有限公司->樾宸投资,"[{""name"": ""宁波梅山保税港区樾宸投资管理有限公司"", ""alias"": ""樾宸投资"", ""name_idx"": [9, 26], ""alias_idx"": [31, 34]}]",美的置业集团二股东宁波梅山保税港区樾宸投资管理有限公司（简称“樾宸投资”）对前者增资人民币68亿元,1
,[],【亿邦动力讯】12月6日消息，近日，浙江大学中国跨境电子商务研究院发布《中国中小企业跨境电商白皮书》（以下简称《白皮书》,1
深圳市坤世通科技有限公司->坤世通,"[{""name"": ""深圳市坤世通科技有限公司"", ""alias"": ""坤世通"", ""name_idx"": [39, 50], ""alias_idx"": [57, 59]}]",投资界（ID：pedaily2012）4月15日消息，近日，有业内人士消息称，深圳市坤世通科技有限公司（以下简称“坤世通”）已于上月完成pre-B轮融资，资方来自国内头部的资本团队，融资后估值达2亿人民币,1
,[],纺织B2B平台百布正式与苏州巨细信息科技（简称巨细）、广州飞舟信息科技（简称织联网）签署战略并购协议,1
